epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.902,1.507,4.21824,1.65063,0.27659,0.09266,0.04829,0.0314,1.35727,3.54915,1.65547,9.76423e-05,9.76423e-05,9.76423e-05
2,217.992,1.43034,3.452,1.58978,0.1171,0.27821,0.11937,0.077,1.36585,2.88274,1.61475,0.000195451,0.000195451,0.000195451
3,281.63,1.42647,3.03017,1.58433,0.20891,0.33612,0.20157,0.13543,1.33795,2.67063,1.58279,0.000292496,0.000292496,0.000292496
4,344.53,1.39689,2.76267,1.54639,0.31927,0.34001,0.25707,0.16371,1.34849,2.46213,1.57401,0.000291422,0.000291422,0.000291422
5,407.894,1.36786,2.58438,1.53534,0.37047,0.29695,0.27261,0.17713,1.34272,2.39487,1.57004,0.000289428,0.000289428,0.000289428
6,470.472,1.34243,2.4467,1.50635,0.28721,0.382,0.33433,0.22244,1.32382,2.25539,1.53094,0.000286877,0.000286877,0.000286877
7,533.473,1.30886,2.36741,1.48032,0.36223,0.40251,0.33899,0.22766,1.31447,2.17791,1.54245,0.00028378,0.00028378,0.00028378
8,594.89,1.29616,2.25635,1.46455,0.34512,0.42782,0.37604,0.25563,1.30132,2.10673,1.50711,0.000280149,0.000280149,0.000280149
9,655.349,1.27894,2.19087,1.45696,0.45299,0.37758,0.40445,0.27268,1.33237,2.01082,1.50856,0.000275999,0.000275999,0.000275999
10,718.356,1.26524,2.13261,1.436,0.38324,0.40257,0.39372,0.27379,1.28899,1.98972,1.47714,0.000271345,0.000271345,0.000271345
11,780.759,1.25644,2.07749,1.43394,0.4311,0.42282,0.40336,0.26267,1.32779,1.9752,1.52554,0.000266206,0.000266206,0.000266206
12,843.334,1.25198,1.99881,1.42512,0.38877,0.48447,0.43613,0.29113,1.31293,1.86353,1.48643,0.000260603,0.000260603,0.000260603
13,905.764,1.23796,1.96376,1.41624,0.36038,0.49902,0.43324,0.29116,1.31271,1.89124,1.50116,0.000254557,0.000254557,0.000254557
14,968.407,1.22851,1.91474,1.40509,0.40004,0.48607,0.44482,0.3028,1.28746,1.87964,1.45563,0.000248092,0.000248092,0.000248092
15,1029.91,1.20713,1.87439,1.39254,0.49569,0.45733,0.46352,0.31185,1.28845,1.8619,1.44907,0.000241234,0.000241234,0.000241234
16,1090.13,1.21477,1.85738,1.39534,0.44213,0.48447,0.44699,0.30087,1.30608,1.85962,1.47166,0.00023401,0.00023401,0.00023401
17,1150.42,1.20301,1.80047,1.37708,0.4354,0.47017,0.47024,0.32564,1.27821,1.80405,1.43844,0.000226449,0.000226449,0.000226449
18,1212.26,1.16429,1.75143,1.36347,0.46109,0.48149,0.47619,0.32511,1.28407,1.7729,1.44751,0.00021858,0.00021858,0.00021858
19,1273.78,1.17332,1.71197,1.36649,0.4222,0.51925,0.46934,0.31971,1.26827,1.7775,1.43917,0.000210434,0.000210434,0.000210434
20,1334.02,1.16392,1.6737,1.35369,0.44303,0.47655,0.47767,0.32182,1.28804,1.79572,1.46352,0.000202043,0.000202043,0.000202043
21,1394.46,1.17139,1.68488,1.36215,0.44745,0.45839,0.47169,0.32012,1.26748,1.76518,1.44588,0.000193441,0.000193441,0.000193441
22,1454.73,1.16578,1.635,1.34861,0.50028,0.4797,0.49808,0.33491,1.28807,1.7244,1.45609,0.000184662,0.000184662,0.000184662
23,1515.94,1.14512,1.60213,1.33948,0.46302,0.47826,0.48312,0.33151,1.26785,1.71907,1.43678,0.00017574,0.00017574,0.00017574
24,1576.54,1.14318,1.6172,1.33968,0.49452,0.49231,0.50544,0.35014,1.25072,1.69365,1.428,0.00016671,0.00016671,0.00016671
25,1637.98,1.13465,1.56429,1.34009,0.47176,0.49297,0.50862,0.34308,1.28222,1.68045,1.44919,0.000157608,0.000157608,0.000157608
26,1698.32,1.11761,1.50403,1.32432,0.51958,0.49527,0.51535,0.34311,1.28231,1.64803,1.44838,0.00014847,0.00014847,0.00014847
27,1759.34,1.11115,1.51617,1.32587,0.52975,0.47715,0.50758,0.34395,1.27195,1.67123,1.45006,0.000139332,0.000139332,0.000139332
28,1820.34,1.12589,1.5131,1.32939,0.45259,0.53851,0.50323,0.34826,1.27341,1.66591,1.44758,0.00013023,0.00013023,0.00013023
29,1880.88,1.09334,1.45902,1.30792,0.46995,0.52196,0.5061,0.34931,1.26463,1.62721,1.42876,0.0001212,0.0001212,0.0001212
30,1941.12,1.08256,1.44532,1.30392,0.46272,0.51687,0.51183,0.35347,1.24226,1.63359,1.41809,0.000112278,0.000112278,0.000112278
31,2001.41,1.0881,1.40255,1.30074,0.49397,0.50803,0.51461,0.35483,1.2474,1.62562,1.41692,0.000103499,0.000103499,0.000103499
32,2063.42,1.07715,1.38647,1.28938,0.47899,0.53337,0.52317,0.36585,1.25065,1.61336,1.42424,9.48968e-05,9.48968e-05,9.48968e-05
33,2124.53,1.0805,1.38821,1.29894,0.48269,0.54054,0.51711,0.35842,1.24637,1.61445,1.42239,8.65063e-05,8.65063e-05,8.65063e-05
34,2184.87,1.07576,1.37617,1.29291,0.47841,0.53652,0.53304,0.36779,1.24864,1.56387,1.41671,7.83604e-05,7.83604e-05,7.83604e-05
35,2244.86,1.05136,1.34809,1.28988,0.48901,0.53993,0.52931,0.36892,1.25246,1.60011,1.4243,7.04911e-05,7.04911e-05,7.04911e-05
36,2305.15,1.05412,1.34027,1.28903,0.51137,0.50504,0.53313,0.37349,1.23797,1.57217,1.41374,6.29296e-05,6.29296e-05,6.29296e-05
37,2365.35,1.05479,1.33884,1.27977,0.4846,0.52185,0.52972,0.36949,1.25082,1.56785,1.41381,5.57057e-05,5.57057e-05,5.57057e-05
38,2425.43,1.04244,1.32224,1.2795,0.46444,0.56529,0.52885,0.37322,1.23357,1.56258,1.41337,4.88479e-05,4.88479e-05,4.88479e-05
39,2486.83,1.04148,1.30758,1.27615,0.50875,0.5303,0.54228,0.38131,1.2425,1.5542,1.42036,4.23832e-05,4.23832e-05,4.23832e-05
40,2546.93,1.02936,1.27271,1.26577,0.5052,0.51919,0.54006,0.3756,1.24342,1.52748,1.41656,3.63372e-05,3.63372e-05,3.63372e-05
41,2682.71,1.00834,1.23823,1.28145,0.4818,0.53731,0.53523,0.37529,1.23834,1.554,1.41293,3.07338e-05,3.07338e-05,3.07338e-05
42,2744.84,0.9867,1.16783,1.26647,0.49903,0.52285,0.53601,0.373,1.23736,1.57096,1.40979,2.5595e-05,2.5595e-05,2.5595e-05
43,2806.52,0.9772,1.16381,1.26463,0.5234,0.49374,0.53877,0.37962,1.24239,1.55941,1.41113,2.09411e-05,2.09411e-05,2.09411e-05
44,2868.46,0.97392,1.15391,1.26351,0.44854,0.58478,0.53122,0.37469,1.23431,1.55852,1.40859,1.67905e-05,1.67905e-05,1.67905e-05
45,2930.01,0.96641,1.12651,1.25455,0.48299,0.53779,0.53445,0.37468,1.2286,1.55932,1.40404,1.31596e-05,1.31596e-05,1.31596e-05
46,2991.46,0.97281,1.13646,1.24702,0.50821,0.5437,0.53803,0.37867,1.23008,1.55343,1.40486,1.00627e-05,1.00627e-05,1.00627e-05
47,3051.2,0.96226,1.13507,1.25085,0.48183,0.55789,0.53664,0.3777,1.2309,1.55801,1.4037,7.51209e-06,7.51209e-06,7.51209e-06
48,3110.92,0.95574,1.12673,1.252,0.47467,0.56233,0.53644,0.37805,1.22908,1.55478,1.40234,5.51774e-06,5.51774e-06,5.51774e-06
49,3173.04,0.95841,1.09979,1.24316,0.47501,0.57147,0.5357,0.37642,1.22637,1.55408,1.40125,4.08755e-06,4.08755e-06,4.08755e-06
50,3233.9,0.96053,1.1227,1.25617,0.50573,0.55387,0.53753,0.37801,1.2298,1.55305,1.40271,3.22717e-06,3.22717e-06,3.22717e-06
