epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.072,1.62716,2.93567,2.1927,1.85811,0.2241,0.23562,0.18793,0.09369,0.20882,0.20526,0.16233,0.07969,1.68368,1.10091,1.15663,2.07797,0.00333148,0.00333148,0.00333148
2,956.317,1.53399,2.26342,1.62455,1.74623,0.52961,0.19135,0.19029,0.0931,0.52521,0.1796,0.17906,0.08266,1.73299,0.81482,1.05529,2.12721,0.00659883,0.00659883,0.00659883
3,1414.77,1.58959,2.3269,1.75426,1.80686,0.72268,0.14948,0.15615,0.06914,0.72096,0.13902,0.14188,0.06183,1.77278,0.84437,1.30572,2.19415,0.00980018,0.00980018,0.00980018
4,1862.63,1.61742,2.36009,1.81201,1.84128,0.80497,0.15023,0.18156,0.08173,0.80546,0.14527,0.18038,0.07881,1.72239,0.80503,1.237,2.15497,0.009703,0.009703,0.009703
5,2318.88,1.56644,2.28227,1.71641,1.80022,0.70243,0.13976,0.16436,0.08055,0.20768,0.1789,0.14208,0.07097,1.69085,0.74147,1.10941,2.09815,0.009604,0.009604,0.009604
6,2761.75,1.53154,2.21438,1.65691,1.76707,0.32699,0.25762,0.20222,0.10104,0.32079,0.24085,0.18963,0.09232,1.59077,0.72248,1.10533,2.00616,0.009505,0.009505,0.009505
7,3208.67,1.50173,2.14489,1.6032,1.74231,0.24394,0.2999,0.23397,0.11992,0.62283,0.21052,0.22318,0.10975,1.55854,0.73649,0.99713,1.97115,0.009406,0.009406,0.009406
8,3656.98,1.48299,2.12089,1.54072,1.72716,0.82557,0.20291,0.27667,0.14761,0.81557,0.19053,0.25106,0.12651,1.54189,0.70229,0.98611,1.95742,0.009307,0.009307,0.009307
9,4097.94,1.46401,2.10606,1.51508,1.70927,0.81697,0.20907,0.30013,0.15943,0.78961,0.19383,0.26902,0.1335,1.51421,0.72285,0.94836,1.91258,0.009208,0.009208,0.009208
10,4537.47,1.44566,2.06315,1.47529,1.69614,0.32533,0.32058,0.30586,0.16701,0.31499,0.30215,0.28329,0.14722,1.49806,0.66867,0.92276,1.90062,0.009109,0.009109,0.009109
11,4977.59,1.43501,2.05336,1.46589,1.68972,0.41071,0.30343,0.3217,0.17818,0.40095,0.29409,0.30436,0.15601,1.49396,0.64387,0.92286,1.90108,0.00901,0.00901,0.00901
12,5727.33,1.42807,2.02538,1.43025,1.67478,0.86612,0.2274,0.31525,0.1759,0.85621,0.22375,0.30588,0.15724,1.46879,0.62929,0.89994,1.87006,0.008911,0.008911,0.008911
13,6483.58,1.41939,2.02427,1.41853,1.66934,0.75007,0.28154,0.34453,0.19845,0.74672,0.27813,0.33788,0.1764,1.43886,0.6811,0.88442,1.83378,0.008812,0.008812,0.008812
14,6931.65,1.40622,1.99214,1.40125,1.66223,0.32657,0.37745,0.35905,0.20223,0.30683,0.35601,0.34202,0.18356,1.49333,0.6915,0.84567,1.89049,0.008713,0.008713,0.008713
15,7373.13,1.38549,1.9666,1.36386,1.64677,0.31801,0.41074,0.37178,0.22338,0.31683,0.40729,0.36517,0.20112,1.46043,0.61836,0.80115,1.84738,0.008614,0.008614,0.008614
16,7814.92,1.38363,1.95444,1.35129,1.6408,0.29131,0.45249,0.38459,0.2264,0.27219,0.45967,0.36877,0.19656,1.44786,0.62457,0.78818,1.82959,0.008515,0.008515,0.008515
17,8262.5,1.37945,1.95859,1.33728,1.63868,0.43594,0.39328,0.383,0.22551,0.42838,0.38015,0.36645,0.19992,1.43578,0.58675,0.77677,1.81853,0.008416,0.008416,0.008416
18,8721.7,1.36897,1.93775,1.33219,1.63238,0.37198,0.39071,0.40178,0.24072,0.36891,0.37507,0.38596,0.21363,1.4216,0.56332,0.78634,1.81269,0.008317,0.008317,0.008317
19,9168.29,1.36728,1.92792,1.32423,1.63013,0.40855,0.3972,0.37513,0.23001,0.30555,0.39416,0.36593,0.20632,1.40657,0.57404,0.79989,1.80741,0.008218,0.008218,0.008218
20,9611.39,1.35714,1.91792,1.30523,1.61819,0.33235,0.41231,0.41321,0.26294,0.3402,0.39593,0.40048,0.23056,1.39477,0.57965,0.7735,1.78519,0.008119,0.008119,0.008119
21,10057.9,1.35184,1.91147,1.2958,1.61672,0.37308,0.44966,0.42844,0.25768,0.36261,0.43733,0.41065,0.22868,1.40046,0.56309,0.76397,1.7891,0.00802,0.00802,0.00802
22,10504.5,1.34797,1.90058,1.26922,1.60885,0.43143,0.42872,0.42119,0.24887,0.41456,0.42943,0.41053,0.22262,1.40726,0.57737,0.7517,1.79209,0.007921,0.007921,0.007921
23,10952.1,1.35038,1.90298,1.27617,1.61061,0.39278,0.4613,0.42949,0.26048,0.38475,0.45557,0.4166,0.23454,1.37841,0.54206,0.7533,1.76719,0.007822,0.007822,0.007822
24,11398.9,1.33522,1.88939,1.26151,1.59992,0.40834,0.43757,0.44608,0.27644,0.40223,0.43557,0.43837,0.24679,1.38347,0.55963,0.73475,1.77307,0.007723,0.007723,0.007723
25,11845.6,1.33201,1.87584,1.24243,1.59419,0.41408,0.42848,0.43831,0.26796,0.40221,0.42179,0.42865,0.23661,1.39015,0.56953,0.72302,1.7657,0.007624,0.007624,0.007624
26,12295.4,1.33204,1.87992,1.2401,1.59737,0.39507,0.48504,0.46848,0.28257,0.38781,0.47064,0.45742,0.25576,1.39158,0.58553,0.72422,1.77486,0.007525,0.007525,0.007525
27,12742.1,1.32171,1.86191,1.23021,1.58359,0.47693,0.45244,0.47544,0.29638,0.46833,0.44232,0.46093,0.26035,1.37747,0.553,0.70904,1.76063,0.007426,0.007426,0.007426
28,13183.7,1.31807,1.86851,1.22498,1.58635,0.42332,0.51479,0.4867,0.30159,0.41111,0.51232,0.47851,0.26923,1.37914,0.53957,0.715,1.76317,0.007327,0.007327,0.007327
