epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3015.19,0.46016,2.36187,1.1642,0.86236,0.84075,0.93119,0.88236,0.3139,1.32198,0.92683,0.00333318,0.00333318,0.00333318
2,5924.24,0.43111,1.36835,1.11946,0.9174,0.94166,0.97853,0.93896,0.28787,0.66008,0.88912,0.00644652,0.00644652,0.00644652
3,8821.32,0.44084,1.11491,1.1207,0.95952,0.95425,0.98522,0.95097,0.26873,0.39992,0.86491,0.00933985,0.00933985,0.00933985
4,11713.3,0.4274,0.96651,1.11095,0.95938,0.96552,0.98731,0.95968,0.2537,0.31051,0.84552,0.00901,0.00901,0.00901
5,14602.4,0.39657,0.83295,1.092,0.97028,0.97052,0.98967,0.96745,0.23915,0.26605,0.82778,0.00868,0.00868,0.00868
6,17493.1,0.38065,0.76334,1.08295,0.97804,0.9686,0.99032,0.9696,0.23634,0.24535,0.82289,0.00835,0.00835,0.00835
7,20392.4,0.37016,0.7172,1.07647,0.98058,0.96958,0.9903,0.97201,0.23171,0.23399,0.81629,0.00802,0.00802,0.00802
8,23290.6,0.36231,0.68803,1.07047,0.9789,0.96941,0.99038,0.97372,0.22596,0.22755,0.81089,0.00769,0.00769,0.00769
9,26187,0.35438,0.6571,1.06613,0.98366,0.96671,0.99025,0.97441,0.22286,0.22458,0.80799,0.00736,0.00736,0.00736
10,29077.3,0.3495,0.63838,1.06287,0.97574,0.97269,0.99057,0.9748,0.21944,0.21871,0.80435,0.00703,0.00703,0.00703
