epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,104.386,2.70297,7.65497,17.4414,2.17843,0,0.00419,0.22915,0.00478,0.00186,0.00371,0.18272,0.00418,0.00117,2.16323,5.66245,16.275,1.93585,0,0.00038375,0.000127917,0.00038375,0.000127917,0.00038375,0.000127917,0.00038375,0.000127917
2,192.652,2.40519,4.86146,17.4081,2.02605,0,0.00595,0.37633,0.01009,0.00462,0.0059,0.37108,0.00977,0.00426,2.00022,2.77869,16.1209,1.84103,0,0.000768416,0.000256139,0.000768416,0.000256139,0.000768416,0.000256139,0.000768416,0.000256139
3,272.878,2.19153,4.12651,17.0879,1.88009,0,0.0094,0.53122,0.03613,0.0193,0.00957,0.54057,0.03686,0.01905,2.08673,1.98482,15.5829,1.86587,0,0.00115175,0.000383916,0.00115175,0.000383916,0.00115175,0.000383916,0.00115175,0.000383916
4,352.638,2.09949,3.83655,16.4444,1.79137,0,0.40151,0.12701,0.0598,0.03339,0.40244,0.12909,0.06116,0.03572,2.22492,2.1957,14.5001,1.95778,0,0.00115049,0.000383497,0.00115049,0.000383497,0.00115049,0.000383497,0.00115049,0.000383497
5,432.104,2.07528,3.64476,15.7272,1.76923,0,0.16122,0.17459,0.068,0.03728,0.16461,0.17821,0.07045,0.04083,2.29814,1.86329,13.6774,2.02692,0,0.00114699,0.000382331,0.00114699,0.000382331,0.00114699,0.000382331,0.00114699,0.000382331
6,510.894,2.0679,3.52605,15.1403,1.77767,0,0.25922,0.21697,0.09177,0.05207,0.25935,0.21771,0.09304,0.05752,2.31609,1.77439,12.8203,2.00764,0,0.00114251,0.000380835,0.00114251,0.000380835,0.00114251,0.000380835,0.00114251,0.000380835
7,590.05,2.09724,3.46099,14.7126,1.79986,0,0.14513,0.21879,0.1256,0.07026,0.1472,0.2238,0.12933,0.07699,2.44983,1.68442,12.4577,2.07953,0,0.00113704,0.000379013,0.00113704,0.000379013,0.00113704,0.000379013,0.00113704,0.000379013
8,669.098,2.0931,3.41512,14.4267,1.80398,0,0.13637,0.24033,0.1554,0.08057,0.13798,0.24725,0.15731,0.08941,2.45184,1.60331,11.893,2.08676,0,0.0011306,0.000376866,0.0011306,0.000376866,0.0011306,0.000376866,0.0011306,0.000376866
9,752.931,2.09441,3.3496,13.9971,1.79522,0,0.14665,0.28189,0.17031,0.08539,0.15068,0.28433,0.17472,0.09716,2.46108,1.46901,11.6654,2.10668,0,0.0011232,0.0003744,0.0011232,0.0003744,0.0011232,0.0003744,0.0011232,0.0003744
10,836.977,2.0844,3.39682,13.7248,1.80395,0,0.19082,0.31371,0.20166,0.10763,0.20283,0.31683,0.20469,0.11688,2.45343,1.48315,11.2664,2.06975,0,0.00111485,0.000371617,0.00111485,0.000371617,0.00111485,0.000371617,0.00111485,0.000371617
11,920.874,2.10402,3.3446,13.4845,1.8227,0,0.18785,0.33222,0.20352,0.09261,0.1972,0.32968,0.21078,0.10633,2.51215,1.43265,11.1854,2.1292,0,0.00110557,0.000368524,0.00110557,0.000368524,0.00110557,0.000368524,0.00110557,0.000368524
12,1004.75,2.06993,3.31783,13.1431,1.79351,0,0.20681,0.32095,0.22791,0.12111,0.21007,0.32754,0.23787,0.1352,2.38297,1.34436,10.7991,2.0537,0,0.00109538,0.000365125,0.00109538,0.000365125,0.00109538,0.000365125,0.00109538,0.000365125
13,1088.68,2.06166,3.26791,12.9976,1.79389,0,0.2305,0.32589,0.25977,0.13345,0.24226,0.32826,0.26841,0.15263,2.36616,1.46997,10.4214,2.02351,0,0.00108428,0.000361427,0.00108428,0.000361427,0.00108428,0.000361427,0.00108428,0.000361427
14,1172.54,2.0835,3.32486,12.7364,1.80904,0,0.26644,0.35912,0.27424,0.13598,0.26934,0.36416,0.28112,0.15056,2.41339,1.36516,10.5633,2.06307,0,0.00107231,0.000357436,0.00107231,0.000357436,0.00107231,0.000357436,0.00107231,0.000357436
15,1256.86,2.05025,3.33,12.6316,1.80038,0,0.26155,0.35912,0.29145,0.13956,0.26832,0.36462,0.29926,0.15766,2.43251,1.33097,10.326,2.08869,0,0.00105948,0.000353159,0.00105948,0.000353159,0.00105948,0.000353159,0.00105948,0.000353159
16,1340.79,2.04312,3.26916,12.3666,1.79297,0,0.28023,0.38958,0.32237,0.15803,0.29341,0.39391,0.3289,0.17832,2.39227,1.36656,9.99218,2.06386,0,0.00104581,0.000348603,0.00104581,0.000348603,0.00104581,0.000348603,0.00104581,0.000348603
17,1424.64,2.02088,3.28371,12.1591,1.77421,0,0.27184,0.38334,0.30974,0.15879,0.27435,0.38614,0.31337,0.17465,2.33858,1.30723,9.71678,2.00406,0,0.00103133,0.000343777,0.00103133,0.000343777,0.00103133,0.000343777,0.00103133,0.000343777
18,1508.77,2.03091,3.21608,12.0246,1.77575,0,0.32991,0.39519,0.32536,0.17212,0.33562,0.3989,0.32836,0.18748,2.2941,1.32391,9.66351,1.95044,0,0.00101607,0.000338689,0.00101607,0.000338689,0.00101607,0.000338689,0.00101607,0.000338689
19,1592.7,2.02461,3.29207,12.0027,1.7765,0,0.29417,0.43247,0.31797,0.16369,0.29441,0.43259,0.31963,0.18191,2.34764,1.24532,9.62179,2.01216,0,0.00100004,0.000333348,0.00100004,0.000333348,0.00100004,0.000333348,0.00100004,0.000333348
20,1676.25,1.99067,3.21956,11.7504,1.75702,0,0.29868,0.38059,0.32927,0.17614,0.30386,0.38319,0.33499,0.19558,2.29003,1.26354,9.55111,1.95914,0,0.00098329,0.000327763,0.00098329,0.000327763,0.00098329,0.000327763,0.00098329,0.000327763
21,1760.04,1.99097,3.16573,11.7469,1.75457,0,0.31078,0.43795,0.33544,0.17735,0.31311,0.43867,0.33807,0.19383,2.31078,1.30066,9.32648,1.96156,0,0.000965834,0.000321945,0.000965834,0.000321945,0.000965834,0.000321945,0.000965834,0.000321945
22,1843.8,1.99503,3.18688,11.6672,1.76705,0,0.29947,0.41314,0.33865,0.17732,0.30328,0.41543,0.34279,0.19619,2.31314,1.26473,9.30441,1.97798,0,0.000947706,0.000315902,0.000947706,0.000315902,0.000947706,0.000315902,0.000947706,0.000315902
23,1927.58,1.96703,3.17262,11.4369,1.75194,0,0.33053,0.38596,0.34402,0.18099,0.33799,0.39324,0.35162,0.20062,2.27781,1.18761,9.14864,1.95462,0,0.000928939,0.000309646,0.000928939,0.000309646,0.000928939,0.000309646,0.000928939,0.000309646
24,2011.38,1.99908,3.2229,11.3927,1.75908,0,0.38524,0.40294,0.35507,0.1877,0.3901,0.40518,0.36096,0.20494,2.28968,1.18071,9.20563,1.99031,0,0.000909566,0.000303189,0.000909566,0.000303189,0.000909566,0.000303189,0.000909566,0.000303189
25,2095.41,1.96705,3.19683,11.3336,1.75116,0,0.34199,0.45091,0.35882,0.19123,0.3472,0.45483,0.36526,0.21046,2.27581,1.24528,8.97051,1.96559,0,0.000889621,0.00029654,0.000889621,0.00029654,0.000889621,0.00029654,0.000889621,0.00029654
26,2179.22,1.99164,3.20814,11.2839,1.75923,0,0.35846,0.4236,0.36455,0.19372,0.35962,0.42517,0.36951,0.21299,2.27839,1.13697,8.98297,1.96855,0,0.000869137,0.000289712,0.000869137,0.000289712,0.000869137,0.000289712,0.000869137,0.000289712
27,2262.94,1.97592,3.17068,11.1208,1.74921,0,0.4055,0.36699,0.35669,0.18959,0.39647,0.36957,0.35971,0.20878,2.27881,1.16405,9.02203,1.97302,0,0.000848153,0.000282718,0.000848153,0.000282718,0.000848153,0.000282718,0.000848153,0.000282718
28,2346.91,1.94595,3.16433,11.1192,1.73495,0,0.34649,0.43142,0.36849,0.20128,0.34891,0.43206,0.37282,0.22186,2.2526,1.1561,8.78646,1.92964,0,0.000826704,0.000275568,0.000826704,0.000275568,0.000826704,0.000275568,0.000826704,0.000275568
29,2430.72,1.9573,3.12774,11.0785,1.73909,0,0.36801,0.44667,0.38772,0.20941,0.37063,0.44726,0.39151,0.22725,2.24093,1.13937,8.69005,1.93407,0,0.000804827,0.000268276,0.000804827,0.000268276,0.000804827,0.000268276,0.000804827,0.000268276
30,2514.31,1.93702,3.16303,10.9145,1.73602,0,0.43829,0.39374,0.39283,0.21608,0.44774,0.3949,0.39518,0.23495,2.19246,1.17047,8.6139,1.89358,0,0.000782562,0.000260854,0.000782562,0.000260854,0.000782562,0.000260854,0.000782562,0.000260854
31,2598.04,1.95317,3.15314,10.881,1.73312,0,0.40359,0.38682,0.38303,0.20871,0.40718,0.38889,0.38811,0.22781,2.20892,1.13337,8.58472,1.90361,0,0.000759948,0.000253316,0.000759948,0.000253316,0.000759948,0.000253316,0.000759948,0.000253316
32,2681.68,1.95397,3.12038,10.9017,1.73673,0,0.37962,0.43375,0.4007,0.21498,0.38445,0.43582,0.40583,0.23363,2.20428,1.14977,8.55035,1.89828,0,0.000737023,0.000245674,0.000737023,0.000245674,0.000737023,0.000245674,0.000737023,0.000245674
33,2765.45,1.94746,3.1001,10.8604,1.73243,0,0.42342,0.4219,0.40155,0.22065,0.42468,0.43053,0.4059,0.23971,2.173,1.20991,8.42498,1.87481,0,0.000713829,0.000237943,0.000713829,0.000237943,0.000713829,0.000237943,0.000713829,0.000237943
34,2849.02,1.9437,3.13282,10.8095,1.73118,0,0.34434,0.45645,0.38573,0.21735,0.34578,0.45031,0.38882,0.23348,2.16332,1.10173,8.47226,1.88957,0,0.000690406,0.000230135,0.000690406,0.000230135,0.000690406,0.000230135,0.000690406,0.000230135
35,2932.75,1.93619,3.1327,10.6999,1.72091,0,0.39368,0.44321,0.40521,0.21664,0.39967,0.45,0.40995,0.23894,2.20929,1.12642,8.34649,1.92051,0,0.000666794,0.000222265,0.000666794,0.000222265,0.000666794,0.000222265,0.000666794,0.000222265
36,3016.29,1.92921,3.1558,10.7195,1.73063,0,0.41535,0.43216,0.39414,0.21423,0.41815,0.42955,0.39429,0.2332,2.20078,1.13723,8.46716,1.91099,0,0.000643037,0.000214346,0.000643037,0.000214346,0.000643037,0.000214346,0.000643037,0.000214346
37,3099.94,1.90764,3.10555,10.4944,1.71013,0,0.37496,0.46271,0.4025,0.22186,0.38574,0.45553,0.40521,0.24394,2.19877,1.15721,8.39894,1.90679,0,0.000619174,0.000206391,0.000619174,0.000206391,0.000619174,0.000206391,0.000619174,0.000206391
