epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,92.4225,2.9484,8.47346,19.3251,2.35216,0,0.02925,0.04322,0.01752,0.00938,0.0309,0.03828,0.01658,0.00627,2.27207,7.29113,16.761,2.03346,0,0.000584872,0.000194957,0.000584872,0.000194957,0.000584872,0.000194957,0.000584872,0.000194957
2,173.212,2.64406,5.47961,15.0438,2.1868,0,0.08571,0.13458,0.08965,0.04355,0.08732,0.13622,0.09087,0.04318,2.22878,2.86467,13.0814,1.99029,0,0.00117236,0.000390788,0.00117236,0.000390788,0.00117236,0.000390788,0.00117236,0.000390788
3,248.955,2.40078,4.30332,12.9279,2.02268,0,0.20202,0.24528,0.19799,0.09541,0.20076,0.24804,0.19921,0.1034,2.39324,1.91158,10.7691,1.96857,0,0.00175782,0.000585938,0.00175782,0.000585938,0.00175782,0.000585938,0.00175782,0.000585938
4,325.7,2.29784,3.90733,11.5164,1.91352,0,0.28498,0.34104,0.28111,0.12822,0.28597,0.34302,0.28537,0.14157,2.59287,1.86821,9.66177,2.03194,0,0.00175711,0.000585705,0.00175711,0.000585705,0.00175711,0.000585705,0.00175711,0.000585705
5,402.406,2.19467,3.70178,10.8185,1.83117,0,0.35761,0.33382,0.31077,0.14114,0.3592,0.33639,0.31748,0.15652,2.61606,1.69803,9.22901,2.07798,0,0.00175177,0.000583924,0.00175177,0.000583924,0.00175177,0.000583924,0.00175177,0.000583924
6,480.684,2.13162,3.6089,10.1287,1.77017,0,0.36132,0.37073,0.34016,0.16601,0.36264,0.3722,0.34383,0.18508,2.56171,1.73894,8.8853,1.98328,0,0.00174492,0.00058164,0.00174492,0.00058164,0.00174492,0.00058164,0.00174492,0.00058164
7,560.539,2.11403,3.61669,9.666,1.75313,0,0.46901,0.40367,0.39364,0.17234,0.4686,0.40774,0.40167,0.20182,2.67229,1.76543,8.37194,2.08616,0,0.00173657,0.000578856,0.00173657,0.000578856,0.00173657,0.000578856,0.00173657,0.000578856
8,640.274,2.08082,3.48289,9.23935,1.72389,0,0.39448,0.42954,0.40353,0.18801,0.39677,0.44384,0.41735,0.21302,2.68179,1.65482,7.99176,2.05483,0,0.00172673,0.000575577,0.00172673,0.000575577,0.00172673,0.000575577,0.00172673,0.000575577
9,720.141,2.05612,3.43083,9.05451,1.71272,0,0.4101,0.44561,0.43118,0.19693,0.43001,0.45449,0.45186,0.22748,2.63172,1.64733,7.61831,2.00307,0,0.00171543,0.00057181,0.00171543,0.00057181,0.00171543,0.00057181,0.00171543,0.00057181
10,799.558,2.03143,3.39359,8.74538,1.70439,0,0.43942,0.44348,0.42432,0.20175,0.44759,0.4566,0.4416,0.22984,2.62641,1.64684,7.84268,2.03992,0,0.00170268,0.000567561,0.00170268,0.000567561,0.00170268,0.000567561,0.00170268,0.000567561
11,879.312,2.00593,3.3713,8.42487,1.68794,0,0.51465,0.41141,0.46369,0.2142,0.53175,0.42266,0.4883,0.25174,2.6124,1.6359,7.28619,1.98929,0,0.00168851,0.000562837,0.00168851,0.000562837,0.00168851,0.000562837,0.00168851,0.000562837
12,958.756,1.99515,3.37873,8.41353,1.68559,0,0.52513,0.46254,0.48416,0.21919,0.50531,0.48665,0.49312,0.255,2.57979,1.40012,7.30291,1.99253,0,0.00167294,0.000557646,0.00167294,0.000557646,0.00167294,0.000557646,0.00167294,0.000557646
13,1038.36,1.99923,3.26999,8.20554,1.67528,0,0.46834,0.43626,0.46943,0.23008,0.4733,0.45641,0.48029,0.25988,2.49133,1.41758,7.36432,1.93877,0,0.00165599,0.000551998,0.00165599,0.000551998,0.00165599,0.000551998,0.00165599,0.000551998
14,1117.46,1.99605,3.34476,8.17783,1.68587,0,0.48829,0.48427,0.48628,0.23536,0.49479,0.48624,0.49775,0.26815,2.46701,1.42689,6.93066,1.8916,0,0.00163771,0.000545902,0.00163771,0.000545902,0.00163771,0.000545902,0.00163771,0.000545902
15,1196.69,1.97269,3.30104,8.04241,1.6843,0,0.50351,0.45822,0.48521,0.23003,0.46698,0.5363,0.50479,0.26334,2.5665,1.42829,7.05129,1.97892,0,0.00161811,0.00053937,0.00161811,0.00053937,0.00161811,0.00053937,0.00161811,0.00053937
16,1275.86,1.95533,3.26689,7.85792,1.6672,0,0.50342,0.50174,0.50581,0.26562,0.51052,0.52129,0.51667,0.2901,2.36176,1.38437,6.67169,1.8678,0,0.00159724,0.000532412,0.00159724,0.000532412,0.00159724,0.000532412,0.00159724,0.000532412
17,1354.19,1.95524,3.22405,7.74637,1.67358,0,0.47774,0.49646,0.51677,0.26691,0.49069,0.49937,0.52513,0.30076,2.36034,1.43509,6.71312,1.86032,0,0.00157513,0.000525042,0.00157513,0.000525042,0.00157513,0.000525042,0.00157513,0.000525042
18,1430.67,1.94655,3.25084,7.54055,1.65574,0,0.52567,0.52366,0.53582,0.27473,0.55977,0.51927,0.55116,0.31006,2.33488,1.34463,6.50132,1.83377,0,0.00155181,0.000517271,0.00155181,0.000517271,0.00155181,0.000517271,0.00155181,0.000517271
19,1506.86,1.95896,3.22959,7.49786,1.66363,0,0.55626,0.47654,0.51986,0.25613,0.56868,0.49947,0.54747,0.29543,2.47948,1.3485,6.56497,1.90883,0,0.00152734,0.000509114,0.00152734,0.000509114,0.00152734,0.000509114,0.00152734,0.000509114
20,1582.85,1.9149,3.16708,7.28517,1.64748,0,0.55088,0.49815,0.53003,0.27571,0.56323,0.50882,0.54936,0.30424,2.34481,1.25007,6.52927,1.82774,0,0.00150175,0.000500584,0.00150175,0.000500584,0.00150175,0.000500584,0.00150175,0.000500584
21,1659.2,1.9576,3.2144,7.32852,1.65672,0,0.55429,0.49766,0.51003,0.26473,0.56158,0.50284,0.52155,0.2928,2.39952,1.15242,6.54713,1.8581,0,0.00147509,0.000491697,0.00147509,0.000491697,0.00147509,0.000491697,0.00147509,0.000491697
22,1737.35,1.92747,3.20826,7.29551,1.64443,0,0.49484,0.56091,0.53143,0.28885,0.49962,0.56624,0.54414,0.31532,2.25022,1.21653,6.27834,1.77196,0,0.00144741,0.000482469,0.00144741,0.000482469,0.00144741,0.000482469,0.00144741,0.000482469
23,1816.48,1.92022,3.16619,7.11282,1.63582,0,0.52124,0.53851,0.5377,0.28604,0.56607,0.50443,0.5454,0.31678,2.31026,1.19492,6.39352,1.80834,0,0.00141874,0.000472915,0.00141874,0.000472915,0.00141874,0.000472915,0.00141874,0.000472915
24,1894.18,1.92728,3.17286,7.08483,1.64894,0,0.56517,0.54119,0.55065,0.29906,0.57664,0.54852,0.56189,0.32749,2.26459,1.17491,6.18755,1.80119,0,0.00138916,0.000463052,0.00138916,0.000463052,0.00138916,0.000463052,0.00138916,0.000463052
25,1970.19,1.8951,3.14753,7.0685,1.64237,0,0.5543,0.53205,0.55188,0.30117,0.56565,0.5426,0.56647,0.32943,2.29592,1.22945,6.21388,1.79694,0,0.00135869,0.000452898,0.00135869,0.000452898,0.00135869,0.000452898,0.00135869,0.000452898
26,2046.28,1.89175,3.13485,6.86451,1.63276,0,0.54087,0.5366,0.54736,0.30597,0.55922,0.55571,0.56657,0.33436,2.21826,1.31027,6.12079,1.7565,0,0.00132741,0.00044247,0.00132741,0.00044247,0.00132741,0.00044247,0.00132741,0.00044247
27,2122.49,1.8895,3.12529,6.78472,1.62169,0,0.63822,0.49418,0.55416,0.3202,0.57973,0.5395,0.56512,0.34276,2.14597,1.18967,6.11009,1.72045,0,0.00129536,0.000431787,0.00129536,0.000431787,0.00129536,0.000431787,0.00129536,0.000431787
28,2201.78,1.90671,3.17781,6.76496,1.6256,0,0.5609,0.55306,0.56706,0.31497,0.51861,0.57385,0.57822,0.34531,2.19383,1.22079,6.01016,1.75858,0,0.0012626,0.000420867,0.0012626,0.000420867,0.0012626,0.000420867,0.0012626,0.000420867
29,2281.06,1.90032,3.14809,6.79344,1.61762,0,0.57252,0.5147,0.55223,0.31204,0.56667,0.52074,0.55656,0.33991,2.21385,1.18844,6.09499,1.76435,0,0.00122919,0.00040973,0.00122919,0.00040973,0.00122919,0.00040973,0.00122919,0.00040973
30,2360.05,1.8658,3.09038,6.70393,1.60495,0,0.54268,0.54808,0.54595,0.31456,0.56348,0.56444,0.56474,0.33996,2.18633,1.20163,5.97447,1.72854,0,0.00119519,0.000398395,0.00119519,0.000398395,0.00119519,0.000398395,0.00119519,0.000398395
31,2438.86,1.88944,3.1125,6.71865,1.62055,0,0.53608,0.55514,0.54352,0.30314,0.54329,0.56364,0.55044,0.3277,2.24009,1.16088,6.11271,1.76925,0,0.00116065,0.000386882,0.00116065,0.000386882,0.00116065,0.000386882,0.00116065,0.000386882
