epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.788,1.56316,3.77167,2.31222,1.72382,0.33406,0.37012,0.29724,0.14065,0.26365,0.28049,0.2157,0.05692,1.77459,4.51478,8.20869,2.3691,0.000647059,0.000647059,0.000647059
2,666.125,1.51675,3.04394,1.77249,1.65075,0.06836,0.69034,0.09301,0.02828,0.02898,0.29268,0.02117,0.00423,2.28182,15.4405,33.7537,3.56463,0.00129638,0.00129638,0.00129638
3,963.006,1.60053,3.05748,1.60341,1.68397,0.12535,0.43293,0.1628,0.05323,0.0698,0.25,0.03745,0.00766,2.46391,5.94926,14.3229,3.2799,0.00192811,0.00192811,0.00192811
4,1260.5,1.61681,3.01173,1.66783,1.71944,0.1287,0.21341,0.06887,0.02131,0.07299,0.15244,0.02642,0.00598,2.96741,6.18531,17.5574,3.70415,0.0019208,0.0019208,0.0019208
5,1664.38,1.56182,2.83835,1.51974,1.67453,0.25604,0.39634,0.2897,0.12475,0.19817,0.32927,0.20721,0.06398,1.98155,4.59753,6.91697,2.39431,0.0018944,0.0018944,0.0018944
6,2027.04,1.47442,2.69539,1.49136,1.58309,0.35151,0.56098,0.39457,0.17668,0.27428,0.47561,0.25708,0.07817,1.87663,5.08588,5.91387,2.34034,0.001868,0.001868,0.001868
7,2382.55,1.48847,2.68309,1.4171,1.60073,0.39917,0.51043,0.37391,0.15484,0.40303,0.37805,0.28579,0.07651,1.92322,4.28953,2.69561,2.17941,0.0018416,0.0018416,0.0018416
8,2799.6,1.41195,2.62501,1.40648,1.55479,0.41296,0.56098,0.36455,0.13939,0.37217,0.5,0.27707,0.09588,1.97928,3.37582,3.83121,2.25499,0.0018152,0.0018152,0.0018152
9,3284.64,1.45747,2.5383,1.41561,1.56357,0.70265,0.61585,0.6713,0.32628,0.65494,0.59146,0.5856,0.26175,1.76915,2.8715,2.10192,2.16177,0.0017888,0.0017888,0.0017888
10,3724.1,1.37194,2.42665,1.2753,1.50591,0.54143,0.56098,0.52984,0.19672,0.43494,0.5,0.38998,0.13978,2.01046,2.9973,2.7765,2.24792,0.0017624,0.0017624,0.0017624
11,4068.68,1.34327,2.49208,1.28028,1.51341,0.67342,0.7544,0.72267,0.35935,0.64379,0.68902,0.66051,0.28905,1.61315,2.63337,2.07433,1.83438,0.001736,0.001736,0.001736
12,4398.67,1.31262,2.42381,1.21366,1.47047,0.59566,0.60184,0.60903,0.30021,0.64276,0.55488,0.57533,0.22476,1.60892,2.57521,1.68106,1.90458,0.0017096,0.0017096,0.0017096
13,4729.47,1.3025,2.29934,1.16754,1.45421,0.77845,0.74985,0.83392,0.42064,0.80017,0.69512,0.75943,0.36318,1.58103,2.45664,1.3137,1.86679,0.0016832,0.0016832,0.0016832
14,5062.45,1.29412,2.34511,1.137,1.44609,0.77218,0.7647,0.82814,0.46386,0.78871,0.77389,0.80359,0.37776,1.41128,2.34757,1.51687,1.75368,0.0016568,0.0016568,0.0016568
15,5396.48,1.25727,2.23031,1.13021,1.41447,0.81023,0.70122,0.81009,0.42522,0.7698,0.66463,0.74101,0.35295,1.55099,2.48609,1.46649,1.82338,0.0016304,0.0016304,0.0016304
16,5757.86,1.27106,2.26551,1.1185,1.43303,0.86178,0.70122,0.82941,0.40609,0.73689,0.68309,0.71324,0.32404,1.75363,2.83373,1.5813,1.963,0.001604,0.001604,0.001604
17,6082.84,1.2834,2.24549,1.15232,1.4479,0.78436,0.82061,0.83732,0.47368,0.7707,0.75,0.77417,0.40329,1.46457,2.30205,1.17283,1.83623,0.0015776,0.0015776,0.0015776
18,6407.66,1.22458,2.17591,1.07807,1.38965,0.8355,0.82317,0.85582,0.47295,0.7858,0.73171,0.75044,0.34163,1.5351,2.69135,1.19911,1.79478,0.0015512,0.0015512,0.0015512
19,6734.83,1.21868,2.14449,1.02441,1.41072,0.85057,0.82317,0.8701,0.5065,0.82459,0.79268,0.80956,0.41342,1.41002,2.30391,1.09351,1.70377,0.0015248,0.0015248,0.0015248
