epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.547,0.44705,2.31047,1.14081,0.76983,0.79385,0.86061,0.79832,0.36465,0.80608,1.00283,0.00333202,0.00333202,0.00333202
2,718.538,0.40995,1.15839,1.08827,0.78974,0.74214,0.83532,0.7811,0.35357,0.91113,0.96357,0.00653338,0.00653338,0.00653338
3,1053.77,0.42904,0.94338,1.09007,0.8749,0.845,0.93067,0.86682,0.35234,0.6079,0.97401,0.00960274,0.00960274,0.00960274
4,1385.08,0.42078,0.76797,1.08526,0.94471,0.9431,0.97889,0.94071,0.27283,0.35105,0.87498,0.009406,0.009406,0.009406
5,1724.62,0.38723,0.6199,1.06573,0.95209,0.96562,0.98605,0.95496,0.26375,0.28749,0.86148,0.009208,0.009208,0.009208
6,2094.49,0.3697,0.55843,1.05593,0.96199,0.96496,0.98584,0.96516,0.23038,0.24551,0.81597,0.00901,0.00901,0.00901
7,2801.38,0.35847,0.51782,1.05079,0.97293,0.97595,0.98981,0.96933,0.23962,0.23248,0.82674,0.008812,0.008812,0.008812
8,3531,0.34759,0.48237,1.04375,0.98063,0.97573,0.9912,0.9749,0.22832,0.21573,0.80718,0.008614,0.008614,0.008614
9,4107.02,0.34427,0.46372,1.04297,0.98046,0.98296,0.99276,0.97808,0.21318,0.19992,0.79347,0.008416,0.008416,0.008416
10,4452.39,0.33783,0.44211,1.03867,0.98459,0.98503,0.9926,0.97844,0.21509,0.19434,0.79493,0.008218,0.008218,0.008218
11,4805.17,0.33562,0.43139,1.0382,0.98169,0.98972,0.99281,0.98123,0.20214,0.18503,0.78051,0.00802,0.00802,0.00802
12,5135.93,0.32951,0.41758,1.03322,0.9861,0.98795,0.99323,0.98404,0.20015,0.17942,0.7775,0.007822,0.007822,0.007822
13,5466.01,0.32421,0.40725,1.03143,0.98619,0.98939,0.99338,0.98323,0.20006,0.17593,0.7795,0.007624,0.007624,0.007624
