epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.748,0.60682,8.60162,1.16713,0.62599,0.59839,0.6731,0.48479,0.04995,0.59453,0.10639,0.00333202,0.00333202,0.00333202
2,812.002,0.75331,2.42401,1.25111,0.60251,0.48941,0.47305,0.28982,0.06311,1.13308,0.12706,0.00653338,0.00653338,0.00653338
3,1405.3,0.89983,2.46077,1.35611,0.80659,0.30878,0.43686,0.22015,0.08722,1.79961,0.16478,0.00960274,0.00960274,0.00960274
4,1723.75,0.88735,2.39216,1.34029,0.63383,0.76856,0.81534,0.60055,0.04997,1.18979,0.10438,0.009406,0.009406,0.009406
5,2041.53,0.78158,2.07957,1.2474,0.68505,0.84664,0.87195,0.72148,0.03792,2.25587,0.08509,0.009208,0.009208,0.009208
6,2377.6,0.7009,1.83217,1.18617,0.79269,0.79337,0.89083,0.74548,0.0366,0.50493,0.08452,0.00901,0.00901,0.00901
7,2735.59,0.67315,1.68165,1.17541,0.9233,0.95118,0.97019,0.84465,0.03149,0.82341,0.07666,0.008812,0.008812,0.008812
8,3085.19,0.62511,1.54424,1.12068,0.83201,0.90274,0.97155,0.86501,0.02991,0.83124,0.07367,0.008614,0.008614,0.008614
9,3459.87,0.58551,1.47315,1.09228,0.91907,0.96519,0.97179,0.85028,0.0308,0.54537,0.07385,0.008416,0.008416,0.008416
10,3839.42,0.58293,1.39155,1.09191,0.96139,0.96759,0.9764,0.87645,0.02711,0.65306,0.07027,0.008218,0.008218,0.008218
11,4321.14,0.55617,1.25845,1.0816,0.9566,0.9631,0.97741,0.87408,0.02821,0.69369,0.07231,0.00802,0.00802,0.00802
12,4645.74,0.54984,1.23331,1.07304,0.95821,0.96966,0.97342,0.88802,0.02471,0.77636,0.0649,0.007822,0.007822,0.007822
13,4968.6,0.53715,1.21623,1.07111,0.94583,0.98443,0.97642,0.88042,0.02572,0.48973,0.06738,0.007624,0.007624,0.007624
