epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,436.711,1.57904,2.76109,1.55569,1.82693,0.83872,0.78788,0.85171,0.40452,0.8433,0.79089,0.855,0.41339,1.69504,0.93699,0.99984,2.09937,0.00333133,0.00333133,0.00333133
2,846.203,1.50852,2.05399,1.23662,1.74451,0.86211,0.80037,0.86174,0.42498,0.86402,0.80037,0.86116,0.42958,1.68306,0.87879,0.93458,2.10211,0.0065327,0.0065327,0.0065327
3,1254.1,1.56532,2.08814,1.34206,1.78733,0.81867,0.76428,0.83182,0.39036,0.82265,0.76197,0.82786,0.39165,1.7396,0.92841,1.08319,2.1614,0.00960207,0.00960207,0.00960207
4,1661.61,1.58423,2.07137,1.38588,1.8214,0.8288,0.74918,0.83337,0.42358,0.82702,0.74439,0.82637,0.42065,1.65523,0.64316,1.05924,2.08866,0.009406,0.009406,0.009406
5,2075.63,1.53907,2.00762,1.34146,1.7846,0.84885,0.79204,0.85854,0.45816,0.84794,0.78626,0.85194,0.45361,1.57445,0.64374,0.99279,2.00412,0.009208,0.009208,0.009208
6,2486.22,1.49005,1.95355,1.28762,1.74549,0.89039,0.78732,0.87503,0.47435,0.88763,0.7839,0.86867,0.46932,1.55822,0.57015,0.92449,1.98353,0.00901,0.00901,0.00901
7,2897.07,1.4593,1.8926,1.23797,1.72127,0.88773,0.83437,0.89283,0.47829,0.88861,0.82859,0.88802,0.47252,1.58983,0.54015,0.89037,2.01421,0.008812,0.008812,0.008812
8,3306.45,1.44044,1.87538,1.2216,1.70527,0.88165,0.83752,0.89674,0.49233,0.87997,0.83437,0.89109,0.48811,1.52827,0.54616,0.85356,1.94447,0.008614,0.008614,0.008614
9,3715.71,1.4235,1.84503,1.19394,1.68957,0.88561,0.82998,0.90157,0.49451,0.88612,0.82767,0.89807,0.49363,1.52201,0.50284,0.8545,1.94704,0.008416,0.008416,0.008416
10,4125.55,1.40473,1.82499,1.16704,1.67527,0.87857,0.82677,0.90194,0.52148,0.87837,0.82281,0.89721,0.51431,1.45068,0.53933,0.84392,1.86377,0.008218,0.008218,0.008218
11,4534.17,1.39339,1.80219,1.16366,1.65722,0.90553,0.85367,0.91688,0.52321,0.90427,0.84687,0.90943,0.51685,1.47097,0.51345,0.79506,1.8775,0.00802,0.00802,0.00802
12,4945.47,1.38468,1.79456,1.14003,1.65898,0.90219,0.87578,0.92371,0.52376,0.90303,0.86813,0.91682,0.51615,1.47271,0.48882,0.79406,1.8797,0.007822,0.007822,0.007822
13,5358.63,1.37653,1.78613,1.12931,1.65234,0.91291,0.86792,0.92744,0.52293,0.91281,0.86458,0.92299,0.51701,1.4771,0.49327,0.75245,1.87537,0.007624,0.007624,0.007624
14,5769.4,1.36482,1.76158,1.12114,1.64712,0.90481,0.85843,0.92114,0.53966,0.9039,0.85509,0.91498,0.53294,1.41767,0.49793,0.7662,1.82914,0.007426,0.007426,0.007426
15,6176.13,1.35098,1.75854,1.09325,1.63095,0.88415,0.87385,0.9219,0.53604,0.8815,0.86907,0.91526,0.52747,1.41971,0.48667,0.77141,1.82919,0.007228,0.007228,0.007228
16,6586.34,1.3453,1.73132,1.08545,1.6255,0.90511,0.876,0.92324,0.54569,0.90366,0.87221,0.91696,0.53753,1.4012,0.48042,0.76159,1.80423,0.00703,0.00703,0.00703
17,7076.21,1.3414,1.73165,1.07775,1.62364,0.92177,0.87221,0.92956,0.55597,0.92027,0.87046,0.92479,0.54618,1.3853,0.46112,0.75421,1.79239,0.006832,0.006832,0.006832
18,7495.13,1.32913,1.70696,1.06009,1.60516,0.91568,0.89914,0.93859,0.55883,0.91309,0.8966,0.93258,0.55114,1.38079,0.49071,0.72709,1.78551,0.006634,0.006634,0.006634
19,7904.83,1.32775,1.70716,1.05523,1.60993,0.91895,0.8929,0.94285,0.56211,0.92008,0.89174,0.93899,0.55604,1.37452,0.47564,0.71065,1.77949,0.006436,0.006436,0.006436
20,8312.42,1.31583,1.69514,1.04968,1.60362,0.91833,0.90285,0.94307,0.55893,0.91407,0.89817,0.93739,0.55105,1.3947,0.4613,0.70731,1.79298,0.006238,0.006238,0.006238
21,8719.88,1.31021,1.68564,1.03519,1.6004,0.90847,0.90215,0.94323,0.56782,0.90391,0.89655,0.93684,0.55967,1.36368,0.4709,0.69559,1.77336,0.00604,0.00604,0.00604
22,9128.51,1.29967,1.6776,1.02518,1.59222,0.9205,0.89382,0.94243,0.57495,0.91826,0.89137,0.93632,0.56572,1.36917,0.45755,0.68141,1.76932,0.005842,0.005842,0.005842
23,9538.29,1.29292,1.66674,1.01945,1.59026,0.91729,0.90932,0.94659,0.5668,0.91573,0.90446,0.94031,0.55941,1.37867,0.454,0.67149,1.78048,0.005644,0.005644,0.005644
24,9943.57,1.28665,1.66793,1.00925,1.57997,0.90349,0.90701,0.94308,0.56958,0.90206,0.90215,0.93714,0.56168,1.35054,0.45313,0.67911,1.75643,0.005446,0.005446,0.005446
25,10349.1,1.28619,1.66523,0.99598,1.57329,0.91119,0.89478,0.94355,0.57137,0.91025,0.89385,0.93814,0.56176,1.35641,0.43752,0.66779,1.75703,0.005248,0.005248,0.005248
26,10752.6,1.27406,1.6408,0.99007,1.56939,0.91904,0.90585,0.94849,0.57731,0.91646,0.90331,0.9439,0.56947,1.36226,0.44311,0.64847,1.77015,0.00505,0.00505,0.00505
