epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.381,1.56667,1.44477,1.84666,0.85623,0.81558,0.87142,0.43474,1.70683,0.93262,2.10181,0.00332932,0.00332932,0.00332932
2,450.189,1.45637,1.1202,1.72488,0.86026,0.82452,0.87793,0.44525,1.67925,0.92987,2.05343,0.00653073,0.00653073,0.00653073
3,669.972,1.51112,1.22111,1.78579,0.68859,0.68101,0.70512,0.30549,1.86855,1.33332,2.28841,0.00960015,0.00960015,0.00960015
4,884.814,1.53517,1.30411,1.81092,0.80553,0.7215,0.79813,0.38499,1.77283,1.16747,2.21521,0.009406,0.009406,0.009406
5,1099.49,1.50044,1.24221,1.7795,0.85416,0.81286,0.86988,0.42359,1.70041,0.95047,2.1347,0.009208,0.009208,0.009208
6,1307.19,1.46525,1.18581,1.74805,0.84903,0.805,0.86011,0.44714,1.60916,0.98203,2.02345,0.00901,0.00901,0.00901
7,1495.94,1.43106,1.14699,1.72631,0.86676,0.82998,0.88585,0.4758,1.57252,0.91685,2.00023,0.008812,0.008812,0.008812
8,1692.83,1.41352,1.12176,1.70686,0.88013,0.83599,0.89567,0.49318,1.55803,0.84185,1.97236,0.008614,0.008614,0.008614
9,1891.4,1.40069,1.10508,1.69481,0.87047,0.85344,0.89798,0.48937,1.54359,0.85224,1.969,0.008416,0.008416,0.008416
10,2091.23,1.38349,1.08518,1.68579,0.90893,0.84956,0.91402,0.51427,1.49357,0.83826,1.91936,0.008218,0.008218,0.008218
11,2293.42,1.36947,1.07199,1.67112,0.88855,0.85753,0.90403,0.5019,1.52006,0.84374,1.93054,0.00802,0.00802,0.00802
12,2496.64,1.35458,1.06069,1.66176,0.89466,0.87393,0.92142,0.52569,1.47127,0.80817,1.87539,0.007822,0.007822,0.007822
13,2699.07,1.3424,1.02904,1.6478,0.88124,0.87371,0.91706,0.52452,1.48147,0.77179,1.8714,0.007624,0.007624,0.007624
14,2902.32,1.33475,1.01371,1.63867,0.90779,0.86884,0.9204,0.52598,1.46676,0.76012,1.87152,0.007426,0.007426,0.007426
