epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.463,1.52931,1.60747,1.75164,0.71575,0.67291,0.70873,0.32164,1.82233,1.37929,2.27136,0.000665864,0.000665864,0.000665864
2,297.565,1.5742,1.34476,1.76651,0.76905,0.70368,0.78281,0.34909,1.87937,1.2574,2.24764,0.00126657,0.00126657,0.00126657
3,436.69,1.54817,1.29086,1.74189,0.7082,0.73828,0.74303,0.34832,1.74124,1.22578,2.15693,0.00180128,0.00180128,0.00180128
4,618.736,1.50941,1.25346,1.71585,0.83285,0.77469,0.84494,0.44995,1.58522,1.03129,2.00164,0.001703,0.001703,0.001703
5,841.071,1.47606,1.19322,1.68186,0.83996,0.80291,0.85403,0.4322,1.61876,0.99155,2.05324,0.001604,0.001604,0.001604
6,1047.76,1.4465,1.14037,1.65479,0.8528,0.80675,0.8666,0.47648,1.52377,0.97841,1.93147,0.001505,0.001505,0.001505
7,1156.42,1.42402,1.11474,1.64639,0.86556,0.83877,0.8957,0.49569,1.50569,0.90393,1.89451,0.001406,0.001406,0.001406
8,1265.79,1.39932,1.09077,1.62633,0.88549,0.82639,0.89515,0.50589,1.50261,0.84036,1.89912,0.001307,0.001307,0.001307
9,1376.4,1.39095,1.0664,1.61654,0.86681,0.83553,0.88566,0.5038,1.47874,0.86985,1.89326,0.001208,0.001208,0.001208
10,1487.96,1.3718,1.03901,1.60547,0.89251,0.85667,0.91008,0.52606,1.46357,0.81256,1.85814,0.001109,0.001109,0.001109
11,1685.69,1.40922,0.89302,1.79401,0.87481,0.84178,0.89986,0.52742,1.42765,0.84496,1.83488,0.00101,0.00101,0.00101
12,1812.89,1.38282,0.85716,1.76405,0.88232,0.85219,0.91152,0.53421,1.41015,0.83312,1.81693,0.000911,0.000911,0.000911
13,1930.98,1.35498,0.83656,1.74359,0.88784,0.87717,0.91985,0.54672,1.38123,0.81068,1.77892,0.000812,0.000812,0.000812
14,2045.72,1.33449,0.79591,1.72598,0.90884,0.86944,0.92173,0.55215,1.39163,0.754,1.79418,0.000713,0.000713,0.000713
15,2160.63,1.3195,0.78088,1.71053,0.90169,0.88272,0.92855,0.55641,1.37963,0.76678,1.77533,0.000614,0.000614,0.000614
16,2274.94,1.30211,0.75777,1.68783,0.91605,0.88597,0.93448,0.56848,1.34855,0.73529,1.74509,0.000515,0.000515,0.000515
17,2390.13,1.28581,0.72315,1.67496,0.90491,0.90031,0.9364,0.56772,1.36888,0.70422,1.76235,0.000416,0.000416,0.000416
18,2504.91,1.26129,0.70368,1.65105,0.90485,0.89822,0.93704,0.57088,1.35658,0.70324,1.75082,0.000317,0.000317,0.000317
19,2619.19,1.2488,0.68532,1.63906,0.91293,0.90464,0.93894,0.57932,1.34093,0.68112,1.73269,0.000218,0.000218,0.000218
20,2735.2,1.23147,0.67252,1.62582,0.91789,0.90886,0.94195,0.58411,1.33044,0.67159,1.72537,0.000119,0.000119,0.000119
